FirstName,LastName,LogonName,PhoneNumber,Department
Ellen,Abel,EABEL,011.44.1644.429267,Sales
Sundar,Ande,SANDE,011.44.1346.629268,Sales
Mozhe,Atkinson,MATKINSO,650.124.6234,Shipping
David,Austin,DAUSTIN,590.423.4569,IT
Hermann,Baer,HBAER,515.123.8888,Public Relations
Shelli,Baida,SBAIDA,515.127.4563,Purchasing
Amit,Banda,ABANDA,011.44.1346.729268,Sales
Elizabeth,Bates,EBATES,011.44.1343.529268,Sales
Sarah,Bell,SBELL,650.501.1876,Shipping
David,Bernstein,DBERNSTE,011.44.1344.345268,Sales
Laura,Bissot,LBISSOT,650.124.5234,Shipping
Harrison,Bloom,HBLOOM,011.44.1343.829268,Sales
Alexis,Bull,ABULL,650.509.2876,Shipping
Anthony,Cabrio,ACABRIO,650.509.4876,Shipping
Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,Sales
Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,Sales
John,Chen,JCHEN,515.124.4269,Finance
Kelly,Chung,KCHUNG,650.505.1876,Shipping
Karen,Colmenares,KCOLMENA,515.127.4566,Purchasing
Curtis,Davies,CDAVIES,650.121.2994,Shipping
Lex,De Haan,LDEHAAN,515.123.4569,Executive
Julia,Dellinger,JDELLING,650.509.3876,Shipping
Jennifer,Dilly,JDILLY,650.505.2876,Shipping
Louise,Doran,LDORAN,011.44.1345.629268,Sales
Bruce,Ernst,BERNST,590.423.4568,IT
Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,Sales
Britney,Everett,BEVERETT,650.501.2876,Shipping
Daniel,Faviet,DFAVIET,515.124.4169,Finance
Pat,Fay,PFAY,603.123.6666,Marketing
Kevin,Feeney,KFEENEY,650.507.9822,Shipping
Jean,Fleaur,JFLEAUR,650.507.9877,Shipping
Tayler,Fox,TFOX,011.44.1343.729268,Sales
Adam,Fripp,AFRIPP,650.123.2234,Shipping
Timothy,Gates,TGATES,650.505.3876,Shipping
Ki,Gee,KGEE,650.127.1734,Shipping
Girard,Geoni,GGEONI,650.507.9879,Shipping
William,Gietz,WGIETZ,515.123.8181,Accounting
Douglas,Grant,DGRANT,650.507.9844,Shipping
Kimberely,Grant,KGRANT,011.44.1644.429263,
Nancy,Greenberg,NGREENBE,515.124.4569,Finance
Danielle,Greene,DGREENE,011.44.1346.229268,Sales
Peter,Hall,PHALL,011.44.1344.478968,Sales
Michael,Hartstein,MHARTSTE,515.123.5555,Marketing
Shelley,Higgins,SHIGGINS,515.123.8080,Accounting
Guy,Himuro,GHIMURO,515.127.4565,Purchasing
Alexander,Hunold,AHUNOLD,590.423.4567,IT
Alyssa,Hutton,AHUTTON,011.44.1644.429266,Sales
Charles,Johnson,CJOHNSON,011.44.1644.429262,Sales
Vance,Jones,VJONES,650.501.4876,Shipping
Payam,Kaufling,PKAUFLIN,650.123.3234,Shipping
Alexander,Khoo,AKHOO,515.127.4562,Purchasing
Janette,King,JKING,011.44.1345.429268,Sales
Steven,King,SKING,515.123.4567,Executive
